fecha,componente,vibracion,temperatura,horas_operacion,fallo
2022-04-11 22:00:00,turbina1,39.53271707637388,67.36802168358501,5460,0
2021-10-17 05:00:00,turbina1,52.81844232639957,84.6927097903971,4172,0
2022-01-08 18:00:00,turbina2,51.59994481000288,57.58993218565669,5103,0
2022-06-19 02:00:00,turbina1,51.76515580226787,77.14599622045824,6914,0
2021-10-02 17:00:00,turbina2,48.54840888296874,81.22511499261334,5334,0
2020-11-19 11:00:00,turbina2,67.07821477912815,56.61542606353642,4629,0
2021-07-13 19:00:00,turbina1,57.33785349688722,68.25200892619917,4728,0
2022-12-26 09:00:00,turbina1,46.71421043085111,49.61785377495549,4588,0
2022-09-17 06:00:00,generador2,44.979633063879746,73.6476570125297,4739,0
2022-07-15 17:00:00,generador2,37.44921428779268,61.86035391806739,2667,0
2020-01-05 00:00:00,turbina2,35.601420261626046,100.21924610201,6451,0
2022-08-01 09:00:00,turbina1,70.15279050015761,66.7428463246066,4314,0
2022-08-23 06:00:00,generador1,49.796491058716406,50.66307482106944,6131,0
2022-05-05 07:00:00,turbina1,67.25090550478168,68.32197698879334,4923,0
2022-05-06 09:00:00,generador1,61.683293136697195,70.54851976940304,4085,0
2020-08-24 00:00:00,turbina1,65.36407817287609,53.51273860403147,4564,0
2020-02-09 06:00:00,turbina2,43.46534177849056,73.91328244111996,6111,0
2022-08-06 00:00:00,turbina1,54.930967241705254,88.38670953787035,4101,0
2020-01-05 15:00:00,turbina1,35.72630063027752,65.58504029606982,6144,0
2020-05-25 01:00:00,generador1,55.26789431543678,92.95074139056355,5225,0
2022-01-09 11:00:00,turbina2,50.576174644197415,72.30641786177033,5112,0
2020-04-30 14:00:00,generador2,48.16554610547341,77.29220221659068,2457,0
2020-05-18 13:00:00,turbina2,50.34975677338819,63.50623358707848,5306,0
2021-09-14 16:00:00,turbina2,44.69830436060692,59.32718632092243,3106,0
2021-12-29 04:00:00,turbina2,53.342165471601845,88.31022802997833,4533,0
2020-11-28 17:00:00,generador1,59.519832483582086,35.234741534462515,7278,0
2022-01-29 15:00:00,generador1,61.56709586809356,81.46766064164508,5334,0
2021-06-14 19:00:00,turbina1,56.950638406383746,58.9885724729924,6610,0
2020-09-27 04:00:00,generador1,52.58527575551354,56.44870640164043,5881,0
2021-11-15 07:00:00,generador2,44.71466603107376,65.12279357851187,4386,0
2022-01-08 18:00:00,turbina2,55.1581043852617,76.37166055416299,2977,0
2022-08-21 12:00:00,turbina1,56.9473088642679,47.94776411314271,4817,1
2020-10-04 00:00:00,generador1,50.89317769739142,64.05042738739797,6218,0
2022-07-24 21:00:00,turbina1,49.04839936828165,89.95990516794275,6007,0
2022-09-15 16:00:00,generador2,47.85204287540149,62.11275189905706,4605,1
2021-12-31 23:00:00,generador1,44.09544738871278,86.30371130429226,6020,0
2020-06-23 19:00:00,turbina1,68.87936701651114,68.64090147150773,4593,0
2020-04-11 04:00:00,generador2,59.161935243114016,65.62627766383277,5806,0
2020-11-30 12:00:00,generador1,38.646910944294554,65.74355802949405,4029,0
2020-05-15 12:00:00,turbina2,44.92942148052931,83.35400079570653,3109,1
2022-01-10 06:00:00,generador1,48.43508208218502,72.64678926778366,4105,0
2022-05-12 05:00:00,turbina1,53.13126697090674,77.01612387502703,5299,0
